Rank,Vehicle,Driver,Time,PS / KG
32,McLaren 720S,Christian Gebhardt,07:08.0,720 / 1429
33,Modified Nissan GT-R Nismo (R35),Michael Krumm,07:08.7,- / -
34,McLaren 600LT,Christian Gebhardt,07:08.8,600 / 1404
35,Porsche 911 GT3 (991 facelift),Jan Coomans,07:10.9,500 / 1477
36,Mercedes-Benz AMG GT R,Christian Gebhardt,07:10.9,585 / 1637
37,Gumpert Apollo Sport,Florian Gruber,07:11.6,700 / 1200
38,Dodge Viper SRT-10 ACR,Dominik Farnbacher,07:12.1,608 / 1544
39,Porsche 911 GT3 (991 facelift),unknown,07:12.7,500 / 1477
40,718 Cayman GT4 RS Manthey Per..,Christian Gebhardt,07:12.9,500 / 1445
41,Porsche 918 Spyder,Horst von Saurma,07:13.0,887 / 1668
42,BMW M4 CSL,Jörg Weidinger,07:13.5,551 / 1619
43,Chevrolet Corvette Z06 (C7),Christian Gebhardt,07:13.9,659 / 1612
44,McLaren 720S,unknown,07:14.0,720 / 1429
45,Chevrolet Corvette Z06 (C7),unknown,07:14.0,659 / 1612
46,Lexus LFA Nurburgring Package,Akira Iida,07:14.6,570 / 1509
47,Donkervoort D8 RS,Michael Duechting,07:14.9,350 / 600
48,Porsche 718 Cayman GT4 RS,Christian Gebhardt,07:16.0,500 / 1449
49,Camaro ZL1 1LE Package,unknown,07:16.0,659 / 1748
50,BMW M4 CSL,Christian Gebhardt,07:17.0,551 / 1619
51,Porsche 911 Turbo S,unknown,07:17.0,580 / 1604
52,Porsche 911 Turbo S (992),Christian Gebhardt,07:17.0,650 / 1650
53,Porsche 911 Turbo S,Christian Gebhardt,07:17.1,580 / 1604
54,BMW M4 CS (G82 facelift),Jörg Weidinger,07:17.2,550 / 1680
55,Porsche 911 GT2 RS (997),Timo Kluck,07:18.0,620 / 1410
56,Jaguar XE SV Project 8,unknown,07:18.4,600 / 1801
57,Radical SR3 Turbo,Phil Bennett,07:19.0,320 / 500
58,Nissan GT-R (R35 550 PS),Toshio Suzuki,07:19.1,550 / 1766
59,Chevrolet Corvette ZR1 (C6),Jim Mero,07:19.6,647 / 1526
60,Porsche 911 GT3 RS (991),unknown,07:20.0,500 / 1469
61,Ferrari 488 GTB,unknown,07:21.0,670 / 1547
62,Ferrari 488 GTB,Christian Gebhardt,07:21.6,670 / 1547
